index,true_category,neighbor_categories,same_ratio,doc_preview
2381,Electronics,"Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Automotive, Automotive, Automotive",0.0,"Wonderfulhz Screen Protector Compatible with 2022+ Sequoia,Sequoia/Tundra 8 Inch Touch Screen,Anti Glare Scratch,Shock-R"
2389,Tools_and_Home_Improvement,"Automotive, Automotive, Automotive, Automotive, Automotive",0.0,HEADLIGHTSDEPOT Park Light Compatible with Toyota Sequoia Tundra Includes Right Passenger Side Park Light Corner Lamp Th
2406,Toys_and_Games,"Automotive, Toys_and_Games, Automotive, Toys_and_Games, Automotive",0.4,Round 2 The Three Stooges 1940 Ford Sedan Delivery 1 25 Scale Model Kit From the Manufacturer The all-time classic comed
2414,Toys_and_Games,"Automotive, Toys_and_Games, Automotive, Automotive, Automotive",0.2,Pro-line Racing 1/10 1999 Ford Mustang Clr Bdy Drag Car Car/Truck Bodies Wings & Decals Pro-line Racing 1/10 1999 Ford M
2434,Automotive,"Automotive, Electronics, Automotive, Tools_and_Home_Improvement, Electronics",0.4,Not Today Satan Sticker Decal Notebook Car Laptop 5.5 (White) This is a high quality vinyl decal that can be adhered on 
2446,Tools_and_Home_Improvement,"Electronics, Electronics, Tools_and_Home_Improvement, Electronics, Electronics",0.2,8/3 NM-B x 80' Non-Metallic Electrical Cable 8/3 NM-B x 80' Non-Metallic Electrical Cable. Your order will be cut from a
2477,Musical_Instruments,"Toys_and_Games, Musical_Instruments, Toys_and_Games, Toys_and_Games, Toys_and_Games",0.2,"Taylor Guitars TS-BT, Taylor Swift Baby Taylor, 3/4 Size Dreadnought, Solid Sitka Spruce Top, Saplele Back/Sides, Natura"
2478,Toys_and_Games,"Office_Products, Office_Products, Office_Products, Office_Products, Office_Products",0.0,"MUDOR Stamp Collecting Album, 2 Rows Pockets Stamp Book for Collectors, 10 Sheets Stamp Stockbook, Black Row) Stamp Albu"
2500,Toys_and_Games,"Toys_and_Games, Office_Products, Toys_and_Games, Office_Products, Appliances",0.4,"Waving Flag Party Plates, 9, 10 Ct. Having a feast for a Canada National holiday celebration? we've got the perfect tabl"
2529,Toys_and_Games,"Toys_and_Games, Electronics, Electronics, Electronics, Electronics",0.2,Freewell Long Exposure Photography- 4K Series - 4Pack Filters Compatible with Mavic Air 2 Drone Unmatched Optics Each of
2535,Electronics,"Musical_Instruments, Tools_and_Home_Improvement, Electronics, Tools_and_Home_Improvement, Toys_and_Games",0.2,"LRONG Telescopic Brush, Keyboard Brush, Lens Soft Brush, Computer Camera Cleaning Supplies, MJ115 Black, Camera Lens Cle"
2544,Electronics,"Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories",0.0,Skinomi Screen Protector Compatible with Barnes & Noble Nook Color Clear TechSkin TPU Anti-Bubble HD Film The NOOK Color
2546,Musical_Instruments,"Musical_Instruments, Electronics, Electronics, Electronics, Musical_Instruments",0.4,CELESTION 12 Replacement Woofer for Mackie The Celestion is the best performing drop-in replacement 12 inch woofer for t
2561,Electronics,"Electronics, Tools_and_Home_Improvement, Electronics, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories",0.4,Skinit Decal Gaming Skin for PS4 Pro/Slim Controller - Officially Licensed NHL New York Rangers Distressed Design The Ne
2587,Automotive,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.0,"Air Capital 3X Rivet Gun, Model Number 14232 The Air Capital 3X Rivet Gun is an economical rivet gun kit for working wit"
2603,Electronics,"Electronics, Office_Products, Electronics, Office_Products, Office_Products",0.4,"Canboc Carrying Case for HP Sprocket Portable 2x3 Instant Photo Printer, KODAK Step Wireless Mobile Photo Printer, Lifep"
2613,Cell_Phones_and_Accessories,"Cell_Phones_and_Accessories, Electronics, Electronics, Tools_and_Home_Improvement, Electronics",0.2,"USB C Charger, 100W USB-C Power Adapter, Super Fast Charger for Samsung, GaN III Compact & Foldable Versatile Charger, 3"
2643,Electronics,"Tools_and_Home_Improvement, Electronics, Electronics, Musical_Instruments, Tools_and_Home_Improvement",0.4,Wellmaking 80W Portable LED Light Continuous Light 5600K CRI 98 COB Spotlight Video Light Dimmable Lightweight Noiseless
2656,Electronics,"Musical_Instruments, Electronics, Musical_Instruments, Electronics, Musical_Instruments",0.4,"SpeechWare FlexyMike SE Overview The FlexyMike Single Ear - SE is an ultra-lightweight titanium alloy (about 5 g./0,2 oz"
2670,Electronics,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Automotive",0.0,"Digital Light Meter, Portable High Accuracy Digital Luxmeter Lux Testing Illuminometer LCD Display Light Meter Specifica"
2709,Automotive,"Automotive, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Automotive, Tools_and_Home_Improvement",0.4,United Pacific 40798 International Prostar Exterior Door Handle - Driver Exterior Door Handle For International Prostar 
2733,Office_Products,"Musical_Instruments, Cell_Phones_and_Accessories, Tools_and_Home_Improvement, Automotive, Tools_and_Home_Improvement",0.0,XoYoZo Door Stoppers Wall Protector Buffer Guard Doorknob Door Handle Bumper Self Adhesive Silencer Soft Rubber Crash Pa
2742,Automotive,"Tools_and_Home_Improvement, Automotive, Automotive, Office_Products, Office_Products",0.4,Racatac 01RAC3 Kneeling Sitting Creeper OEM Replacement Parts / Equipment Strong aluminum frame weighs only 8-1/2 lbs. a
2750,Automotive,"Automotive, Tools_and_Home_Improvement, Automotive, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.4,Front AC Heater Blower Motor Compatible with 16-17 ILK / 15-18 RDX - 13-17 Accord / 12-16 CR-V replaces 700260 PM4051 PM
2771,Appliances,"Automotive, Appliances, Automotive, Automotive, Automotive",0.2,WGL Top Load Dryer Drum Bearing Kit Inner Shaft Replacement for Fisher Paykel 479332 Fitment Fit for Fisher Paykel Speci
2777,Office_Products,"Office_Products, Electronics, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Office_Products",0.4,Polycom VVX 400 Series Business Media Phone POE (Power Supply Included) The Polycom VVX 400 is an expandable color busin
2792,Office_Products,"Tools_and_Home_Improvement, Office_Products, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Office_Products",0.4,"TRINITY Dual-Sided Mobile, Black Rolling Bin Rack 19.75 x 35.50 x 48.50 inches TRINITY's mobile bin rack is versatile an"
2798,Toys_and_Games,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.0,"Cousin Craft & Jewelry Flush Cutter, 5 Inch This Flush Cutter is perfect for cutting most wires and findings. It creates"
2822,Toys_and_Games,"Toys_and_Games, Cell_Phones_and_Accessories, Office_Products, Toys_and_Games, Office_Products",0.4,"Playmobil Large Hospital The medical team is ready to handle any emergency at the Large Hospital. Upon arrival, check in"
2837,Tools_and_Home_Improvement,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Electronics, Electronics, Office_Products",0.4,"Detex Grey Surface Mounted Exit Alarm Piezo Horn Detex Battery Powered Door or Wall Mount Exit Alarm, 2.10 W x 2.375 D x"
2839,Electronics,"Electronics, Musical_Instruments, Automotive, Cell_Phones_and_Accessories, Tools_and_Home_Improvement",0.2,Power Acoustik Capacitor Hinged case w/window 30 farad Hybrid super digit Blue voltage display 8 LEDs inside viewing win
2848,Tools_and_Home_Improvement,"Office_Products, Office_Products, Office_Products, Office_Products, Tools_and_Home_Improvement",0.2,"Festool 204869 Roll Board, Colour, Size The cart with intelligent added extras All four large wheels can be rotated by 3"
2849,Electronics,"Electronics, Tools_and_Home_Improvement, Electronics, Automotive, Tools_and_Home_Improvement",0.4,"Adams Rite PS-SE Baked Enamel Finish Power Supply, 115 VAC, 0.7A, 10 Width x 10-3/8 Height x 4-1/8 Depth, Black, for SVR"
2856,Tools_and_Home_Improvement,"Tools_and_Home_Improvement, Office_Products, Office_Products, Office_Products, Office_Products",0.2,"Generic Zero Shipping Cost • Old World MailboxFramed Fleur de Lis Imperial Mailbox (Size is Standard, Color is Black) Bo"
2858,Office_Products,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Office_Products, Tools_and_Home_Improvement",0.2,"STINGER 3/8 StaplePac Cap Staples - A-11 Crown Staples 20ga (2016 ct), for use with CH38-2 and CH38A Cap Staplers Plasti"
2876,Automotive,"Tools_and_Home_Improvement, Automotive, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.2,"Aeromotive 12306 Filter, In-Line, Fabric Element Aeromotive Inc. is a true high performance aftermarket manufacturer spe"
2885,Appliances,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.0,"Franke USA Franke CP-50C Compact Small Sink Drain Basket, Chrome Product Description Custom designed to fit securely ins"
2917,Electronics,"Electronics, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Electronics",0.4,"Griffin Elan Passport Case for iPad - 1 Pack - Retail Packaging - Black Slim, one-piece folio Opens like a book, flips c"
2930,Automotive,"Automotive, Cell_Phones_and_Accessories, Electronics, Office_Products, Electronics",0.2,Autel MS906 One Year Total Care Program Card features and benefits total care program card for Ms906 one year of softwar
2933,Office_Products,"Office_Products, Office_Products, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.4,Custom Logo Double Round Border Stamp - 3 Lines of Text - Self-Inking Stamper - Rubber Personalized Stamp - Stamps for L
2935,Cell_Phones_and_Accessories,"Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Electronics, Electronics, Tools_and_Home_Improvement",0.4,"Budi 65W PD3.0 USB C GaN Foldable Plug Adapter USB Ultra-Thin Portable Wall-Mounted Travel Power Fast Charger,Adapter fo"
2955,Electronics,"Electronics, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories",0.2,Mr.Shield Designed For Apple Ipad Air/Air 2 Generation (Hd) Anti-glare Screen Protector 5-pack with Lifetime Replacement
2961,Automotive,"Automotive, Electronics, Electronics, Electronics, Electronics",0.2,Viper 5906V Color Remote Start & Security 5906V Control the vehicle from up to 1 mile away using 900 MHz Spread Spectrum
2983,Tools_and_Home_Improvement,"Automotive, Automotive, Automotive, Tools_and_Home_Improvement, Automotive",0.2,Hobart 770503 Medium Duty Oxygen Regulator and Gauges All gauges feature dual (PSI/kPa) scales Package Weight 2.9 pounds
2992,Office_Products,"Electronics, Electronics, Electronics, Electronics, Office_Products",0.2,"KENUCO 2U Rackmount Space Spacer Blank Rack Mount Filler Panel for IT Racks and Cabinets, Solid Black, 19 2U 19 rack spa"
2995,Toys_and_Games,"Toys_and_Games, Toys_and_Games, Electronics, Electronics, Electronics",0.4,"Team Blacksheep Crossfire Transmitter Features long range, adaptive and robust remote control system for your aircraft i"
3001,Musical_Instruments,"Musical_Instruments, Electronics, Cell_Phones_and_Accessories, Musical_Instruments, Cell_Phones_and_Accessories",0.4,Buckle-Down Guitar Strap - BATMAN Poses/Bat Signal CLOSE-UP Black/Grays/Blues - 2 Wide - 29-54 Length When you hit the s
3006,Toys_and_Games,"Electronics, Cell_Phones_and_Accessories, Toys_and_Games, Tools_and_Home_Improvement, Automotive",0.2,"Spektrum 22.2V 6S 30C Smart LiPo G2 IC3, Overview Drivers and pilots enjoy even more Smart advantages when using Spektru"
3015,Tools_and_Home_Improvement,"Automotive, Automotive, Toys_and_Games, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.4,RAPIDAIR FASTPIPE F2005 1 Tee Fitting Fast Pipe compression-style fitting is designed for fast installation in half the 
3026,Office_Products,"Office_Products, Automotive, Automotive, Office_Products, Tools_and_Home_Improvement",0.4,"Fellowes Saturn 3i 95 Thermal Laminator Machine for Home or Office with Pouch Starter Kit, 9.5 inch, Fast Warm-Up, Jam-F"
3089,Cell_Phones_and_Accessories,"Electronics, Cell_Phones_and_Accessories, Electronics, Electronics, Cell_Phones_and_Accessories",0.4,"Apple iPhone 13 Mini, 256GB, Red - Unlocked (Renewed) iPhone 13 mini - The most advanced dual-camera system ever on iPho"
3093,Electronics,"Electronics, Office_Products, Office_Products, Electronics, Automotive",0.4,"The Perfect Dust Cover, Black Nylon Short Cover for HP DesignJet T830 36'' Multifunction Printer, Anti Static and Waterp"
3099,Tools_and_Home_Improvement,"Automotive, Electronics, Electronics, Electronics, Electronics",0.0,Pukido original power board LED 75 power board - (Plug Type Universal) Description warranty 60 days from bid Package inc
3123,Tools_and_Home_Improvement,"Tools_and_Home_Improvement, Electronics, Tools_and_Home_Improvement, Automotive, Electronics",0.4,HSLWYJ Fully Auto-Range Dual Mode Voltage Detection Intelligent True RMS Multimeter Voltage Detect Indicator LCD Screen 
3131,Cell_Phones_and_Accessories,"Electronics, Electronics, Cell_Phones_and_Accessories, Toys_and_Games, Electronics",0.2,"ONE X2 360 Degree Waterproof Action Camera Bundle with Invisible Selfie Stick, Carrying Case, and Tempered Glass Screen "
3135,Toys_and_Games,"Toys_and_Games, Office_Products, Office_Products, Electronics, Toys_and_Games",0.4,Scrabble Deluxe (EA) Celebrate 60 years of winning words! This SCRABBLE game offers special features designed with one i
3151,Tools_and_Home_Improvement,"Electronics, Tools_and_Home_Improvement, Musical_Instruments, Electronics, Tools_and_Home_Improvement",0.4,Jokari T71000 4-70 Cable Knife System Set - Multi-Colour Cable Knife System - Brackets can be changed for different cabl
3162,Automotive,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Automotive",0.2,Honeywell L8148A AQUASTAT Relay 6 inch - Model Number L8148A -- L8148A AQUASTAT RELAY 6 inch Warning This product can ex
3173,Tools_and_Home_Improvement,"Automotive, Tools_and_Home_Improvement, Automotive, Tools_and_Home_Improvement, Electronics",0.4,Wall Decal Half Mandala Ornament Geometric Indian Moroccan Pattern Namaste Yoga Vinyl Sticker Decals Bedroom Boho Bohemi
3178,Office_Products,"Office_Products, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Office_Products, Tools_and_Home_Improvement",0.4,"Bankers Box LIBERTY Heavy-Duty Storage Boxes, FastFold, String and Button, Letter, Case of 12 Maximum security box with "
3184,Office_Products,"Electronics, Office_Products, Electronics, Electronics, Musical_Instruments",0.2,Algo 8373 Zone SIP to Analog IP Paging Adapter The Algo 8373 is a PoE IP Zone Paging Adapter for integrating legacy voic
3195,Tools_and_Home_Improvement,"Tools_and_Home_Improvement, Electronics, Automotive, Tools_and_Home_Improvement, Automotive",0.4,Arborwear Men's 820450 Tech Single Thick (Class 3) Pullover Sweatshirt Stay safe and comfortable on the job with a Class
3209,Electronics,"Automotive, Electronics, Automotive, Automotive, Electronics",0.4,"AIMS Power 1250 Watt / 2500 Watt Peak DC to AC Power Inverter, Economical This is AIMS Power no frills simple use 1250W "
3219,Tools_and_Home_Improvement,"Appliances, Tools_and_Home_Improvement, Automotive, Appliances, Automotive",0.2,"Goodman 20 kW 240 V 1 Phase Electric Heat Kit w/Circuit Breaker Goodman, Electric Heat Kit, Air Handlers, Heating (kW) 2"
3257,Musical_Instruments,"Tools_and_Home_Improvement, Toys_and_Games, Automotive, Office_Products, Office_Products",0.0,"PPGE Soundproof Rug for Piano, Upright Piano Carpet Protector Sound Dampening Non-Slip Carpet Acoustic Pads Sound Proof "
3270,Tools_and_Home_Improvement,"Automotive, Tools_and_Home_Improvement, Automotive, Automotive, Automotive",0.2,Harley-Davidson Bar & Shield Pull Chain Harley-Davidson Bar & Shield Pull Chain Add a personal touch to your ceiling fan
3275,Electronics,"Electronics, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.2,"LimoStudio 700W Photo Video Studio Soft Box Lighting Kit, 20 x 28 Inch Dimension Softbox Light Reflector with 85W CFL Bu"
3319,Office_Products,"Tools_and_Home_Improvement, Toys_and_Games, Office_Products, Toys_and_Games, Tools_and_Home_Improvement",0.2,"TREND enterprises, Inc. Shining Stars Classic Accents, 36 ct Handy, versatile accents spark creativity! Playful accents "
3347,Tools_and_Home_Improvement,"Automotive, Automotive, Automotive, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.4,"KwikSafety (Charlotte, NC) Armadillo Hard Hat (8 Cooling Vents) Type 1 Class C ANSI OSHA Hard Hats Comfortable 6 Point S"
3358,Electronics,"Automotive, Automotive, Automotive, Automotive, Automotive",0.0,Universal Power Group 35AH 12Volt Deep-Cycle Sealed Lead Acid Rechargeable Battery 35Amp Hour 12V - 2 Pack D5722 12V 35A
3370,Musical_Instruments,"Electronics, Musical_Instruments, Musical_Instruments, Electronics, Electronics",0.4,WORLDS BEST CABLES 12 Foot - Canare 4S11 – Audiophile Grade - HiFi Star-Quad Speaker Cable Pair with Eminence Gold Banan
3374,Toys_and_Games,"Office_Products, Automotive, Electronics, Toys_and_Games, Cell_Phones_and_Accessories",0.2,"Zipfolio 360 – Xenoskin Mini American Black High quality Portfolio with flexible and durable cover, innovative XenoSkin "
3398,Electronics,"Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Electronics, Electronics, Cell_Phones_and_Accessories",0.4,Lopnord Replacement Charging Case Compatible with Beats Powerbeats Pro with Bluetooth Pairing Sync Button (Not Include P
3455,Electronics,"Electronics, Automotive, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Electronics",0.4,Trojan Viqua 602805 UVC Uvmax C4 Uv Genuine OEM lamp This listing is now for the Genuine Viqua replacement UV lamp. Genu
3467,Automotive,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.0,"SOLARXIA 2PCS Suction Cup Dent Puller Handle Lifter Car Dent Puller Remover for Car Dent Repair, Glass,TV Screen, Mirror"
3475,Tools_and_Home_Improvement,"Tools_and_Home_Improvement, Electronics, Automotive, Electronics, Electronics",0.2,Brooks Saddles D-Shaped Tool Bag The D-Shaped Bag was featured in Brooks Catalogues as far back as 1910. This innovative
3504,Office_Products,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.0,Swordfish 'Pointi' 8mm Desktop Manual Pencil Sharpener Ref 40235 The Swordfish Pointi - Mechanical Pencil Sharpener for 
3534,Electronics,"Toys_and_Games, Toys_and_Games, Toys_and_Games, Toys_and_Games, Toys_and_Games",0.0,Spirit Halloween The Widow Animatronic | Halloween Décor | Horror Décor | 5.8 Feet | IR Sensor Activated | Moving Prop R
3544,Automotive,"Automotive, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.2,Milwaukee Leather Women's Black Lace-Up Boots with Side Zipper Entry - 7.5 Milwaukee Leather Women’s Black Lace-Up Boots
3551,Tools_and_Home_Improvement,"Cell_Phones_and_Accessories, Electronics, Cell_Phones_and_Accessories, Electronics, Cell_Phones_and_Accessories",0.0,"TEKLECTRIC 4.0A High Speed USB A/USB C Receptacle 20A Tamper Resistant Receptacle ETL Approved & Free Wall Plate, White "
3584,Tools_and_Home_Improvement,"Automotive, Tools_and_Home_Improvement, Automotive, Tools_and_Home_Improvement, Automotive",0.4,Guardian 2000 Ultra-Jack Product Description Ultra-Jack From the Manufacturer The Qual-craft Ultra Jack mechanism uses a
3592,Electronics,"Office_Products, Office_Products, Office_Products, Electronics, Office_Products",0.2,AutoExec AutoExec RoadMaster Car Desk Birch Finish with Printer Stand AutoExec has created a way to make mobile working 
3619,Toys_and_Games,"Toys_and_Games, Electronics, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Toys_and_Games",0.4,"Spider Web Shooters That Actually Real Rope Launcher,Spider Web Gadgets Toy Cool Gadgets for Kids （Gloves not Included）("
3628,Toys_and_Games,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Electronics, Electronics, Tools_and_Home_Improvement",0.0,Gowe Metal Alloy 6 DOF Robot Arm Clamp Claw & Swivel Stand Mount Kit for Arduino Metal Alloy 6 DOF Robot Arm Clamp Claw 
3643,Tools_and_Home_Improvement,"Office_Products, Office_Products, Office_Products, Office_Products, Office_Products",0.0,"Really Good Stuff Fuzzy Feet Chair Glides, Noise Reducer for Classroom Chairs & Desks, Gliders Prevent Floor Scuffs & Sc"
3650,Electronics,"Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Cell_Phones_and_Accessories",0.0,TUFF LUV Silicone Twin Dual Layer Double Protective Skin Case for Garmin Edge Plus - Black/Red A double layer of protect
3660,Office_Products,"Tools_and_Home_Improvement, Office_Products, Electronics, Toys_and_Games, Tools_and_Home_Improvement",0.2,Artisan Power Replacement Battery for Zebra ZQ630 - Zebra Printer Battery and Enhance the performance of your Zebra prin
3699,Office_Products,"Office_Products, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.2,"Orange Agate 3 x 3 x 12 About Us Founded in Boston in 1928, Woodcraft's operations were moved to Parkersburg, West Virgi"
3701,Electronics,"Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Electronics, Cell_Phones_and_Accessories, Electronics",0.4,"MITER Case for iFi Go Blu DAC, Handmade Italy Pueblo Leather Case Cover with Necklace Cord for GoBlu (Green) Handmade MI"
3711,Electronics,"Cell_Phones_and_Accessories, Cell_Phones_and_Accessories, Electronics, Electronics, Automotive",0.4,"Silicon Power 1TB Armor A85 Silver USB3.0 Rugged Portable Hard Drive As a military grade device, 1TB Silicon Power Armor"
3739,Electronics,"Automotive, Automotive, Automotive, Automotive, Automotive",0.0,Map with Flag Inside Greece 3x3.6 inches Sticker Decal die Cut Vinyl - Made and Shipped in USA SSC inc. Made in U.S.A. H
3760,Automotive,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Automotive, Automotive",0.4,"US Cargo Control 4 Inch Roll Off Container Winch Strap, Flat Hook, Sewn Loop Ends, 5 Feet Long, Durable Trailer Winch St"
3762,Automotive,"Electronics, Tools_and_Home_Improvement, Electronics, Electronics, Tools_and_Home_Improvement",0.0,Husqvarna Husqvarna QC330 Replacement Battery Charger The charger is designed to charge any Husqvarna 100 Series battery
3814,Automotive,"Electronics, Electronics, Tools_and_Home_Improvement, Musical_Instruments, Electronics",0.0,Audiovox LED Monitor Audiovox LED Monitor 10.1 DIGITAL LED MONITOR Model Number Item Package Dimension 15.5 L x 8.5 W x 
3816,Tools_and_Home_Improvement,"Office_Products, Electronics, Electronics, Office_Products, Office_Products",0.0,"Fireproof Waterproof Money Document Bag - 2+3 Pack Safe Upgraded Zipper Bags, Fire & Water Resistant Storage Organizer P"
3825,Musical_Instruments,"Musical_Instruments, Electronics, Electronics, Office_Products, Musical_Instruments",0.4,"GLARRY 88-Key Home Full Weighted Hammer Heavy Action Digital Piano for All Experience Levels, Electric Keyboards Piano w"
3833,Electronics,"Office_Products, Office_Products, Electronics, Tools_and_Home_Improvement, Office_Products",0.2,"Mxtallup 2 pack 12x12 Diamond Painting Frames Picture,Display Pictures 10x10 Inch With Mat or 12x12 Inch Without Mat, Pi"
3837,Electronics,"Electronics, Musical_Instruments, Musical_Instruments, Musical_Instruments, Musical_Instruments",0.2,"Radial Engineering Studio Q Talkback With more and more recording happening in smaller studios, the need for a simple ta"
3847,Automotive,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Automotive, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.2,"Engine Oil Pump Oil Pump, Wet Sump, Internal, Standard Volume, 1-1/8 in Inlet, Mopar Gen III Hemi, Each Made In U.S.A. S"
3857,Toys_and_Games,"Electronics, Electronics, Electronics, Electronics, Electronics",0.0,"Mamba XLX2 Extreme 1/6, 1/7, 1/5th Scale ESC Engineered from the ground up, the Mamba XLX2 ESC is packed with a potent c"
3862,Tools_and_Home_Improvement,"Appliances, Musical_Instruments, Musical_Instruments, Electronics, Tools_and_Home_Improvement",0.2,Amprobe HD110C IP67 Heavy Duty Multimeter Black Product Description Amprobe products range from an extensive line of cla
3863,Electronics,"Electronics, Automotive, Automotive, Automotive, Electronics",0.4,ATD Tools 5954 1500W Power Inverter Maximum continuous power 1500 Watt. Peak load power rate up to 3000 Watt. For use wi
3876,Tools_and_Home_Improvement,"Automotive, Automotive, Automotive, Automotive, Tools_and_Home_Improvement",0.2,"Magnet Paint & Shellac S8-01 Multi-Temp 1 gal Chassis Saver is a high solids, VOC compliant, single component chassis pa"
3887,Automotive,"Automotive, Automotive, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.4,"Wix Filters - 46748 Heavy Duty Air Filter, Pack of 1 Since 1939, WIX Filters has been an innovator in filtration product"
3907,Office_Products,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Toys_and_Games, Tools_and_Home_Improvement",0.0,Rotatrim Pro M Series 18 Paper Cutter/Rotary Trimmer This is a very popular size of the Professional M Series range 
3926,Toys_and_Games,"Toys_and_Games, Automotive, Toys_and_Games, Automotive, Automotive",0.4,"Redcat Racing Volcano EPX Electric Truck, Blue/Silver, 1/10 Scale Are you ready for an adrenaline explosion? Fast and po"
3934,Office_Products,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.0,"LED Boba Tea Open Sign for Business Displays | Square Electronic Light Up Sign for Restaurants, Cafés, Diners | 26 H x 2"
3937,Electronics,"Office_Products, Office_Products, Office_Products, Office_Products, Office_Products",0.0,Lorell Electronic Desk Riser Black Electric adjustable Height desk riser. Converts any desk into a sit-to-stand work sta
3975,Tools_and_Home_Improvement,"Musical_Instruments, Tools_and_Home_Improvement, Office_Products, Automotive, Tools_and_Home_Improvement",0.4,"Dap 53005 Plaster of Paris Box Molding Material, White DAP-Plaster of Paris. Great for plaster repairs; hobby molds; and"
3984,Automotive,"Automotive, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Automotive, Tools_and_Home_Improvement",0.4,Bonvoisin 15T Hydraulic Gear Puller Set Wheel Bearing Puller Kit 2 or 3 Jaws Pulling Separator for Wheel Hubs Rotors Car
3996,Tools_and_Home_Improvement,"Office_Products, Office_Products, Office_Products, Office_Products, Office_Products",0.0,"ABUS 07020 Chrome File Bar, 2 Drawer, Grey Product Description Our File Bars are the best solution to secure multi-drawe"
4005,Toys_and_Games,"Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement, Tools_and_Home_Improvement",0.0,"Hampton Nautical Solid Brass Seashell Keyring, 5, Brass From the Manufacturer This nautical-themed key chain is both ado"
4009,Toys_and_Games,"Office_Products, Tools_and_Home_Improvement, Toys_and_Games, Tools_and_Home_Improvement, Office_Products",0.2,"Active Aqua Flood Table for Tents 22 x 45 This Active Aqua Flood Table is sized for use in small tents, where space is t"
4020,Cell_Phones_and_Accessories,"Electronics, Electronics, Cell_Phones_and_Accessories, Electronics, Cell_Phones_and_Accessories",0.4,iBOLT Stream-Cast Stand Adjustable Overhead Phone Mount for Live Streaming Tutorial Videos and Photos. Great for Crafter
4041,Electronics,"Automotive, Automotive, Automotive, Electronics, Electronics",0.4,"LNLN Pure Sine Wave Inverter,Dc to Ac Converter, Power Voltage Transformer,with Battery Cable,Multiple A must-have for y"
